  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  25.99786  25.99411     0.050      1784      7782
  25.99679  25.99309     0.050      1782      7770
  25.99572  25.99215     0.050      1783      7775
  25.99465  25.99124     0.050      1786      7790
  25.99358  25.99030     0.050      1782      7775
  25.99251  25.98927     0.050      1777      7757
  25.99144  25.98811     0.050      1781      7775
  25.99037  25.98693     0.050      1781      7778
  25.98930  25.98577     0.050      1777      7763
  25.98823  25.98465     0.050      1779      7766
  25.98716  25.98360     0.050      1782      7787
  25.98609  25.98261     0.050      1777      7762
  25.98502  25.98170     0.050      1775      7761
  25.98395  25.98077     0.050      1781      7782
  25.98288  25.97979     0.050      1778      7769
  25.98181  25.97868     0.050      1774      7763
  25.98074  25.97750     0.050      1777      7766
  25.97967  25.97633     0.050      1775      7760
  25.97860  25.97517     0.050      1773      7752
  25.97753  25.97409     0.050      1776      7757
  25.97646  25.97306     0.050      1775      7761
  25.97539  25.97212     0.050      1774      7759
  25.97432  25.97121     0.050      1771      7758
  25.97325  25.97026     0.050      1774      7759
  25.97218  25.96921     0.050      1772      7757
  25.97111  25.96803     0.050      1770      7747
  25.97004  25.96685     0.050      1770      7750
  25.96897  25.96568     0.050      1770      7753
  25.96790  25.96457     0.050      1770      7745
  25.96683  25.96352     0.050      1768      7744
  25.96576  25.96254     0.050      1773      7760
  25.96469  25.96164     0.050      1766      7740
  25.96362  25.96071     0.050      1767      7737
  25.96255  25.95973     0.050      1769      7759
  25.96148  25.95861     0.050      1768      7746
  25.96041  25.95742     0.050      1763      7727
  25.95934  25.95625     0.050      1764      7735
  25.95827  25.95511     0.050      1766      7748
  25.95720  25.95403     0.050      1764      7733
  25.95613  25.95300     0.050      1763      7735
  25.95506  25.95206     0.050      1765      7738
  25.95399  25.95115     0.050      1764      7735
  25.95292  25.95020     0.050      1761      7727
  25.95185  25.94915     0.050      1765      7748
  25.95078  25.94797     0.050      1763      7734
  25.94971  25.94679     0.050      1761      7731
  25.94864  25.94562     0.050      1763      7741
  25.94757  25.94451     0.050      1760      7731
  25.94650  25.94346     0.050      1760      7728
  25.94543  25.94248     0.050      1760      7729
  25.94436  25.94157     0.050      1762      7737
