  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.74467  14.74685     0.050     30052     25726      3219
  14.74434  14.74652     0.050     30050     25731      3219
  14.74401  14.74616     0.050     30020     25726      3215
  14.74368  14.74579     0.050     30048     25729      3220
  14.74335  14.74543     0.050     30061     25753      3220
  14.74302  14.74507     0.050     30021     25727      3216
  14.74269  14.74474     0.050     30044     25745      3225
  14.74236  14.74441     0.050     30045     25737      3222
  14.74203  14.74407     0.050     30027     25752      3225
  14.74170  14.74372     0.050     30023     25742      3225
  14.74137  14.74336     0.050     30032     25756      3223
  14.74104  14.74301     0.050     30038     25753      3224
  14.74071  14.74267     0.050     30026     25763      3226
  14.74038  14.74234     0.050     30018     25748      3225
  14.74005  14.74203     0.050     30017     25767      3224
  14.73972  14.74173     0.050     30036     25770      3230
  14.73939  14.74142     0.050     30009     25757      3228
  14.73906  14.74110     0.050     30025     25767      3226
  14.73873  14.74079     0.050     30038     25780      3233
  14.73840  14.74048     0.050     30008     25760      3233
  14.73807  14.74019     0.050     30017     25773      3233
  14.73774  14.73992     0.050     30024     25783      3233
  14.73741  14.73966     0.050     30012     25777      3230
  14.73708  14.73940     0.050     30023     25782      3232
  14.73675  14.73915     0.050     30034     25804      3239
  14.73642  14.73888     0.050     30008     25784      3231
  14.73609  14.73861     0.050     30012     25784      3237
  14.73576  14.73833     0.050     30028     25801      3235
  14.73543  14.73805     0.050     30001     25787      3240
  14.73510  14.73777     0.050     30007     25788      3237
  14.73477  14.73749     0.050     30014     25784      3238
  14.73444  14.73721     0.050     30015     25801      3238
  14.73411  14.73691     0.050     30019     25825      3242
  14.73378  14.73658     0.050     30007     25806      3239
  14.73345  14.73623     0.050     30018     25826      3246
  14.73312  14.73586     0.050     30001     25814      3242
  14.73279  14.73549     0.050     29997     25808      3240
  14.73246  14.73514     0.050     30015     25824      3243
  14.73213  14.73480     0.050     30005     25827      3246
  14.73180  14.73447     0.050     30005     25820      3245
  14.73147  14.73413     0.050     30013     25837      3244
  14.73114  14.73377     0.050     30009     25837      3249
  14.73081  14.73341     0.050     29997     25832      3247
  14.73048  14.73306     0.050     30022     25847      3249
