  9809     SAGA-LS   BL11
 20190220_05_rT  19.02.20 12:05 - 19.02.20 12:28
 ROI 435-470, PiezoDetune 0.6
 Ring :   1.4 GeV   213.6 mA -  204.2 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 23.29240 deg
 BL11      Transmission( 2)   Repetition=  1     Points=581
 Param file : --              energy axis(2)     Block =    9

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1        4635.00   4935.00         6.00       1.00        50
     2        4935.00   5025.96         0.36       1.00       250
     3        5025.96   5102.16         1.90       1.00        40
     4        5102.16   5208.84         2.67       2.00        40
     5        5208.84   5346.00         3.43       2.00        40
     6        5346.00   5513.64         4.19       2.00        40
     7        5513.64   5711.76         4.95       4.00        40
     8        5711.76   5940.36         5.71       4.00        40
     9        5940.36   6199.44         6.48       4.00        41
 CAMAC( 1)     NDCH = 9
  Angle(c)  Angle(o)    time/s         1         2         3         1         2         3         1         2         3
      Mode         0         0         3         1         4       103       101       104         5         5         5
    Offset         0         0     0.000315794.600 27392.700     0.000     0.000     0.000     0.000     0.000     0.000
  25.24935  25.24940      1.00       108   8692971   3730780       279         0         0    999350         0         0
  25.21442  25.21450      1.00        82   8647138   3720458       274         0         0    999902         0         0
  25.17959  25.17970      1.00        52   8638710   3724295       247         0         0   1000896         0         0
  25.14486  25.14500      1.00        64   8628746   3723267       277         0         0    999954         0         0
  25.11023  25.11040      1.00        76   8499693   3677424       265         0         0    999374         0         0
  25.07570  25.07590      1.00        63   8398725   3642463       247         0         0    999436         0         0
  25.04127  25.04160      1.00        68   8325743   3619148       281         0         0    999879         0         0
  25.00693  25.00720      1.00        61   8177200   3561127       260         0         0    999365         0         0
  24.97270  24.97300      1.00        69   8081705   3533174       269         0         0    999413         0         0
  24.93856  24.93890      1.00        68   8085491   3535821       272         0         0    999884         0         0
  24.90451  24.90490      1.00        51   8056020   3537988       275         0         0    999443         0         0
  24.87057  24.87100      1.00        58   8008998   3524481       286         0         0    999379         0         0
  24.83671  24.83720      1.00        56   7949311   3502257       288         0         0    999988         0         0
  24.80296  24.80350      1.00        41   7913692   3494503       251         0         0    999335         0         0
  24.76930  24.76980      1.00        45   7908581   3497845       268         0         0    999422         0         0
  24.73573  24.73620      1.00        51   7936580   3517359       289         0         0    999407         0         0
  24.70226  24.70270      1.00        66   7891912   3503136       302         0         0    999467         0         0
  24.66888  24.66940      1.00        55   7944421   3532026       309         0         0    999374         0         0
  24.63559  24.63600      1.00        49   7906722   3524168       313         0         0    999474         0         0
  24.60240  24.60290      1.00        56   7730035   3460089       367         0         0    999932         0         0
  24.56930  24.56970      1.00        70   7661716   3429912       390         0         0    999490         0         0
  24.53630  24.53660      1.00        71   7640782   3427856       480         0         0    999377         0         0
  24.50338  24.50370      1.00        88   7701786   3458356       527         0         0    999460         0         0
  24.47055  24.47090      1.00       108   7682107   3459509       610         0         0    999415         0         0
  24.43782  24.43810      1.00        81   7682681   3466439       659         0         0    999322         0         0
  24.40518  24.40540      1.00       115   7675543   3464621       769         0         0    999190         0         0
  24.37263  24.37280      1.00       101   7740771   3500862       760         0         0    999640         0         0
  24.34016  24.34040      1.00       105   7790556   3531890       759         0         0    999273         0         0
  24.30779  24.30790      1.00        84   7800729   3547174       733         0         0   1000781         0         0
  24.27550  24.27570      1.00        94   7890727   3589609       803         0         0   1000674         0         0
  24.24331  24.24350      1.00        84   7984144   3635444       789         0         0    999141         0         0
  24.21120  24.21140      1.00        68   8021573   3657449       805         0         0    999716         0         0
  24.17918  24.17930      1.00        68   8037427   3673128       790         0         0    999145         0         0
  24.14725  24.14730      1.00        55   8117936   3717909       796         0         0    999146         0         0
  24.11540  24.11550      1.00        72   8217902   3760462       818         0         0    999136         0         0
  24.08364  24.08380      1.00        53   8262350   3791756       804         0         0    999182         0         0
  24.05197  24.05210      1.00        74   8283164   3806065       810         0         0    999134         0         0
  24.02039  24.02050      1.00        64   8289182   3821487       786         0         0    999126         0         0
  23.98889  23.98890      1.00        72   8256701   3810230       835         0         0    999640         0         0
  23.95747  23.95740      1.00        61   8247975   3812735       764         0         0    999121         0         0
  23.92614  23.92610      1.00        85   8269098   3831653       822         0         0    999098         0         0
  23.89490  23.89490      1.00        76   8223643   3813822       763         0         0    999205         0         0
  23.86373  23.86370      1.00        96   8201313   3814666       808         0         0    999149         0         0
  23.83266  23.83280      1.00       105   8079550   3769966       715         0         0    999256         0         0
  23.80166  23.80170      1.00       109   8061225   3762166       600         0         0    999277         0         0
  23.77075  23.77080      1.00       108   8079724   3777352       551         0         0    999442         0         0
  23.73992  23.74000      1.00       119   8228124   3853222       518         0         0   1000963         0         0
  23.70918  23.70920      1.00       162   8227102   3863983       557         0         0    999298         0         0
  23.67852  23.67850      1.00       172   8209488   3860129       612         0         0    999853         0         0
  23.64794  23.64800      1.00       175   8136117   3833133       571         0         0    999328         0         0
  23.61744  23.61750      1.00       236   8127620   3842593       668         0         0    999339         0         0
  23.61559  23.61560      1.00       237   8146942   3843637       656         0         0    999345         0         0
  23.61374  23.61390      1.00       255   8138456   3844630       638         0         0    999366         0         0
  23.61190  23.61200      1.00       260   8139234   3849836       674         0         0    999282         0         0
  23.61005  23.61020      1.00       245   8158843   3861510       641         0         0    999256         0         0
  23.60820  23.60830      1.00       261   8164269   3860708       702         0         0    999849         0         0
  23.60636  23.60640      1.00       237   8158263   3859022       674         0         0    999795         0         0
  23.60451  23.60460      1.00       264   8155362   3856099       659         0         0    999789         0         0
