  9809     SPring-8 14b2 
 Pb-L21_Pb3O4_S  21.02.10 01:11 - 21.02.10 01:17
 Pb3O4                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle=  7.72956 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6730
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1        7.64000   6.53000    -0.000170       0.05      6730
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   211.100   256.500   176.500
   7.63983   7.64196     0.050     15749     17524     22066
   7.63966   7.64183     0.050     15758     17534     22088
   7.63949   7.64169     0.050     15771     17547     22106
   7.63932   7.64155     0.050     15746     17524     22076
   7.63915   7.64141     0.050     15754     17537     22100
   7.63898   7.64127     0.050     15763     17549     22117
   7.63881   7.64112     0.050     15747     17533     22099
   7.63864   7.64097     0.050     15750     17535     22111
   7.63847   7.64081     0.050     15755     17543     22122
   7.63830   7.64064     0.050     15760     17555     22131
   7.63813   7.64047     0.050     15757     17551     22127
   7.63796   7.64029     0.050     15751     17547     22129
   7.63779   7.64011     0.050     15761     17559     22152
   7.63762   7.63993     0.050     15758     17561     22146
   7.63745   7.63974     0.050     15746     17548     22141
   7.63728   7.63956     0.050     15748     17553     22144
   7.63711   7.63938     0.050     15758     17564     22167
   7.63694   7.63919     0.050     15740     17550     22142
   7.63677   7.63902     0.050     15748     17560     22167
   7.63660   7.63885     0.050     15754     17566     22184
   7.63643   7.63868     0.050     15740     17554     22165
   7.63626   7.63851     0.050     15745     17563     22173
   7.63609   7.63835     0.050     15751     17570     22188
   7.63592   7.63817     0.050     15750     17568     22178
   7.63575   7.63800     0.050     15738     17561     22178
   7.63558   7.63782     0.050     15752     17577     22212
   7.63541   7.63764     0.050     15753     17580     22203
   7.63524   7.63746     0.050     15739     17569     22192
   7.63507   7.63728     0.050     15742     17572     22216
   7.63490   7.63710     0.050     15760     17589     22238
   7.63473   7.63692     0.050     15743     17578     22229
   7.63456   7.63675     0.050     15740     17575     22225
   7.63439   7.63658     0.050     15748     17587     22248
   7.63422   7.63642     0.050     15749     17593     22251
   7.63405   7.63626     0.050     15733     17573     22220
   7.63388   7.63610     0.050     15737     17582     22240
   7.63371   7.63595     0.050     15750     17599     22256
   7.63354   7.63579     0.050     15729     17579     22239
   7.63337   7.63563     0.050     15733     17583     22258
   7.63320   7.63547     0.050     15744     17594     22266
   7.63303   7.63531     0.050     15733     17588     22253
   7.63286   7.63515     0.050     15732     17590     22261
   7.63269   7.63499     0.050     15737     17598     22283
   7.63252   7.63483     0.050     15739     17601     22284
   7.63235   7.63466     0.050     15729     17594     22274
   7.63218   7.63451     0.050     15729     17593     22281
   7.63201   7.63436     0.050     15743     17607     22306
   7.63184   7.63421     0.050     15733     17604     22296
   7.63167   7.63407     0.050     15730     17599     22298
   7.63150   7.63393     0.050     15741     17613     22314
   7.63133   7.63380     0.050     15741     17617     22329
   7.63116   7.63366     0.050     15722     17598     22303
   7.63099   7.63353     0.050     15732     17610     22313
   7.63082   7.63340     0.050     15744     17626     22342
   7.63065   7.63328     0.050     15716     17599     22303
   7.63048   7.63315     0.050     15724     17611     22331
   7.63031   7.63302     0.050     15740     17627     22349
   7.63014   7.63289     0.050     15731     17618     22333
   7.62997   7.63276     0.050     15726     17617     22341
   7.62980   7.63262     0.050     15740     17634     22372
   7.62963   7.63248     0.050     15729     17624     22363
   7.62946   7.63234     0.050     15735     17631     22372
   7.62929   7.63219     0.050     15737     17637     22380
   7.62912   7.63205     0.050     15739     17643     22385
   7.62895   7.63192     0.050     15731     17633     22385
   7.62878   7.63178     0.050     15731     17635     22389
   7.62861   7.63164     0.050     15742     17652     22413
   7.62844   7.63150     0.050     15735     17642     22404
   7.62827   7.63136     0.050     15729     17642     22399
   7.62810   7.63122     0.050     15733     17647     22421
   7.62793   7.63107     0.050     15743     17663     22430
   7.62776   7.63092     0.050     15719     17634     22412
   7.62759   7.63076     0.050     15741     17664     22445
   7.62742   7.63059     0.050     15732     17656     22431
   7.62725   7.63042     0.050     15721     17646     22419
   7.62708   7.63024     0.050     15728     17657     22435
   7.62691   7.63006     0.050     15741     17668     22464
   7.62674   7.62988     0.050     15729     17660     22446
   7.62657   7.62969     0.050     15728     17660     22453
   7.62640   7.62950     0.050     15738     17674     22479
   7.62623   7.62932     0.050     15740     17676     22478
   7.62606   7.62914     0.050     15732     17672     22475
   7.62589   7.62897     0.050     15736     17682     22491
   7.62572   7.62881     0.050     15741     17689     22496
   7.62555   7.62864     0.050     15732     17680     22499
   7.62538   7.62847     0.050     15727     17677     22496
   7.62521   7.62831     0.050     15739     17688     22505
   7.62504   7.62813     0.050     15738     17688     22528
   7.62487   7.62796     0.050     15726     17677     22500
   7.62470   7.62779     0.050     15746     17701     22534
   7.62453   7.62762     0.050     15743     17702     22541
   7.62436   7.62744     0.050     15734     17691     22520
   7.62419   7.62725     0.050     15738     17702     22543
   7.62402   7.62708     0.050     15746     17714     22558
   7.62385   7.62690     0.050     15738     17707     22547
   7.62368   7.62673     0.050     15735     17705     22557
   7.62351   7.62656     0.050     15749     17727     22589
   7.62334   7.62640     0.050     15730     17701     22559
   7.62317   7.62624     0.050     15731     17708     22578
   7.62300   7.62608     0.050     15748     17727     22595
   7.62283   7.62592     0.050     15736     17717     22589
   7.62266   7.62577     0.050     15734     17718     22590
   7.62249   7.62561     0.050     15748     17732     22611
   7.62232   7.62545     0.050     15737     17725     22600
   7.62215   7.62529     0.050     15737     17723     22605
   7.62198   7.62513     0.050     15738     17726     22616
   7.62181   7.62497     0.050     15743     17736     22630
   7.62164   7.62481     0.050     15744     17741     22640
   7.62147   7.62465     0.050     15732     17725     22628
   7.62130   7.62450     0.050     15744     17743     22642
   7.62113   7.62434     0.050     15746     17748     22655
   7.62096   7.62420     0.050     15728     17731     22629
   7.62079   7.62406     0.050     15738     17744     22653
   7.62062   7.62392     0.050     15753     17763     22683
   7.62045   7.62378     0.050     15733     17739     22648
   7.62028   7.62366     0.050     15742     17753     22665
   7.62011   7.62353     0.050     15740     17753     22679
   7.61994   7.62340     0.050     15738     17753     22676
   7.61977   7.62327     0.050     15730     17745     22672
   7.61960   7.62314     0.050     15735     17756     22669
   7.61943   7.62302     0.050     15737     17760     22699
   7.61926   7.62288     0.050     15740     17763     22696
   7.61909   7.62275     0.050     15724     17749     22694
   7.61892   7.62261     0.050     15740     17768     22716
   7.61875   7.62247     0.050     15742     17773     22716
   7.61858   7.62233     0.050     15729     17762     22716
   7.61841   7.62219     0.050     15730     17765     22719
   7.61824   7.62205     0.050     15738     17775     22729
   7.61807   7.62191     0.050     15723     17761     22725
   7.61790   7.62178     0.050     15732     17771     22740
   7.61773   7.62164     0.050     15736     17776     22744
   7.61756   7.62150     0.050     15727     17770     22737
   7.61739   7.62136     0.050     15724     17773     22738
   7.61722   7.62121     0.050     15736     17786     22766
   7.61705   7.62106     0.050     15719     17770     22748
   7.61688   7.62091     0.050     15730     17783     22771
   7.61671   7.62075     0.050     15731     17786     22774
   7.61654   7.62058     0.050     15722     17778     22760
   7.61637   7.62041     0.050     15726     17786     22775
   7.61620   7.62023     0.050     15731     17792     22791
   7.61603   7.62004     0.050     15728     17792     22801
   7.61586   7.61985     0.050     15725     17790     22792
   7.61569   7.61967     0.050     15730     17799     22798
   7.61552   7.61948     0.050     15725     17793     22798
   7.61535   7.61930     0.050     15731     17800     22823
   7.61518   7.61913     0.050     15724     17796     22806
   7.61501   7.61896     0.050     15722     17797     22817
   7.61484   7.61880     0.050     15734     17817     22841
   7.61467   7.61863     0.050     15725     17807     22836
   7.61450   7.61846     0.050     15725     17807     22838
   7.61433   7.61830     0.050     15736     17823     22858
   7.61416   7.61813     0.050     15722     17809     22848
   7.61399   7.61796     0.050     15723     17814     22853
   7.61382   7.61778     0.050     15732     17817     22859
   7.61365   7.61760     0.050     15730     17820     22869
   7.61348   7.61743     0.050     15730     17822     22870
   7.61331   7.61725     0.050     15726     17820     22880
   7.61314   7.61706     0.050     15728     17826     22882
   7.61297   7.61689     0.050     15725     17824     22877
   7.61280   7.61671     0.050     15725     17829     22891
   7.61263   7.61654     0.050     15725     17830     22894
   7.61246   7.61638     0.050     15731     17839     22913
   7.61229   7.61622     0.050     15720     17828     22899
   7.61212   7.61606     0.050     15716     17825     22894
   7.61195   7.61590     0.050     15730     17845     22928
   7.61178   7.61574     0.050     15727     17840     22921
   7.61161   7.61559     0.050     15719     17838     22924
   7.61144   7.61543     0.050     15732     17852     22942
   7.61127   7.61527     0.050     15724     17845     22940
   7.61110   7.61512     0.050     15723     17845     22945
   7.61093   7.61496     0.050     15722     17849     22948
   7.61076   7.61480     0.050     15728     17854     22961
   7.61059   7.61465     0.050     15723     17851     22960
   7.61042   7.61449     0.050     15726     17857     22970
   7.61025   7.61434     0.050     15722     17855     22966
   7.61008   7.61419     0.050     15726     17861     22984
   7.60991   7.61405     0.050     15721     17857     22979
   7.60974   7.61391     0.050     15719     17860     22984
   7.60957   7.61378     0.050     15728     17870     23007
   7.60940   7.61365     0.050     15717     17861     22979
   7.60923   7.61352     0.050     15710     17857     22982
   7.60906   7.61339     0.050     15726     17870     23013
   7.60889   7.61326     0.050     15714     17864     22998
   7.60872   7.61313     0.050     15720     17873     23009
   7.60855   7.61300     0.050     15721     17873     23025
   7.60838   7.61287     0.050     15720     17874     23018
   7.60821   7.61274     0.050     15719     17875     23019
   7.60804   7.61260     0.050     15719     17878     23039
   7.60787   7.61246     0.050     15716     17881     23036
   7.60770   7.61233     0.050     15716     17881     23048
   7.60753   7.61219     0.050     15722     17885     23054
   7.60736   7.61204     0.050     15715     17881     23043
   7.60719   7.61190     0.050     15720     17892     23063
   7.60702   7.61176     0.050     15713     17885     23058
   7.60685   7.61163     0.050     15713     17886     23062
   7.60668   7.61149     0.050     15708     17886     23059
   7.60651   7.61135     0.050     15716     17895     23082
   7.60634   7.61121     0.050     15705     17882     23071
   7.60617   7.61105     0.050     15718     17898     23093
   7.60600   7.61090     0.050     15718     17904     23092
   7.60583   7.61074     0.050     15706     17889     23080
   7.60566   7.61057     0.050     15707     17895     23103
   7.60549   7.61040     0.050     15707     17897     23100
   7.60532   7.61022     0.050     15708     17900     23103
   7.60515   7.61004     0.050     15709     17903     23116
   7.60498   7.60985     0.050     15711     17906     23121
   7.60481   7.60967     0.050     15715     17911     23130
   7.60464   7.60949     0.050     15709     17910     23120
   7.60447   7.60931     0.050     15705     17905     23125
   7.60430   7.60914     0.050     15715     17920     23149
   7.60413   7.60897     0.050     15708     17917     23148
   7.60396   7.60881     0.050     15698     17905     23137
   7.60379   7.60864     0.050     15714     17928     23166
   7.60362   7.60848     0.050     15721     17936     23183
   7.60345   7.60832     0.050     15702     17916     23159
   7.60328   7.60815     0.050     15708     17925     23164
   7.60311   7.60798     0.050     15721     17942     23191
   7.60294   7.60780     0.050     15702     17921     23176
   7.60277   7.60763     0.050     15712     17935     23198
   7.60260   7.60746     0.050     15718     17944     23206
   7.60243   7.60728     0.050     15711     17937     23200
   7.60226   7.60710     0.050     15712     17944     23216
   7.60209   7.60694     0.050     15712     17944     23209
   7.60192   7.60677     0.050     15709     17945     23222
   7.60175   7.60661     0.050     15713     17947     23223
   7.60158   7.60646     0.050     15704     17943     23224
   7.60141   7.60635     0.050     15719     17960     23247
   7.60124   7.60624     0.050     15716     17959     23243
   7.60107   7.60615     0.050     15701     17942     23223
   7.60090   7.60607     0.050     15706     17950     23239
   7.60073   7.60598     0.050     15720     17964     23254
   7.60056   7.60590     0.050     15701     17948     23231
   7.60039   7.60583     0.050     15709     17958     23251
   7.60022   7.60576     0.050     15721     17968     23268
   7.60005   7.60568     0.050     15703     17950     23246
   7.59988   7.60560     0.050     15705     17956     23252
   7.59971   7.60549     0.050     15715     17966     23268
   7.59954   7.60536     0.050     15702     17954     23251
   7.59937   7.60523     0.050     15702     17955     23248
   7.59920   7.60509     0.050     15706     17963     23273
   7.59903   7.60495     0.050     15712     17968     23284
   7.59886   7.60480     0.050     15698     17957     23271
   7.59869   7.60465     0.050     15705     17972     23287
   7.59852   7.60450     0.050     15707     17974     23290
   7.59835   7.60436     0.050     15713     17980     23301
   7.59818   7.60421     0.050     15690     17957     23282
   7.59801   7.60407     0.050     15705     17978     23309
   7.59784   7.60394     0.050     15704     17976     23310
   7.59767   7.60380     0.050     15689     17962     23293
   7.59750   7.60368     0.050     15703     17980     23319
   7.59733   7.60355     0.050     15713     17991     23332
   7.59716   7.60343     0.050     15693     17972     23321
   7.59699   7.60331     0.050     15695     17974     23326
   7.59682   7.60318     0.050     15712     17994     23346
   7.59665   7.60305     0.050     15698     17982     23344
   7.59648   7.60292     0.050     15694     17981     23333
   7.59631   7.60279     0.050     15708     17999     23366
   7.59614   7.60266     0.050     15695     17989     23347
   7.59597   7.60252     0.050     15693     17989     23357
   7.59580   7.60238     0.050     15699     17997     23376
   7.59563   7.60224     0.050     15700     18000     23373
   7.59546   7.60210     0.050     15701     18002     23376
   7.59529   7.60196     0.050     15691     17991     23370
   7.59512   7.60183     0.050     15704     18009     23395
   7.59495   7.60169     0.050     15701     18006     23395
   7.59478   7.60154     0.050     15694     18003     23390
   7.59461   7.60141     0.050     15699     18011     23412
   7.59444   7.60127     0.050     15710     18023     23427
   7.59427   7.60112     0.050     15685     17997     23395
   7.59410   7.60097     0.050     15699     18015     23427
   7.59393   7.60081     0.050     15698     18015     23426
   7.59376   7.60065     0.050     15689     18008     23419
   7.59359   7.60048     0.050     15697     18024     23444
   7.59342   7.60030     0.050     15693     18019     23435
   7.59325   7.60011     0.050     15694     18017     23443
   7.59308   7.59992     0.050     15689     18019     23443
   7.59291   7.59974     0.050     15695     18025     23462
   7.59274   7.59955     0.050     15696     18027     23470
   7.59257   7.59936     0.050     15688     18023     23463
   7.59240   7.59919     0.050     15694     18033     23474
   7.59223   7.59901     0.050     15695     18035     23475
   7.59206   7.59884     0.050     15682     18024     23458
   7.59189   7.59867     0.050     15683     18027     23460
   7.59172   7.59851     0.050     15692     18037     23485
   7.59155   7.59834     0.050     15685     18034     23483
   7.59138   7.59816     0.050     15669     18017     23471
   7.59121   7.59799     0.050     15680     18031     23496
   7.59104   7.59782     0.050     15673     18026     23483
   7.59087   7.59764     0.050     15647     17999     23456
   7.59070   7.59745     0.050     15657     18012     23469
   7.59053   7.59727     0.050     15675     18030     23501
   7.59036   7.59709     0.050     15648     18006     23474
   7.59019   7.59691     0.050     15654     18014     23491
   7.59002   7.59674     0.050     15658     18016     23499
   7.58985   7.59657     0.050     15652     18016     23499
   7.58968   7.59640     0.050     15646     18013     23493
   7.58951   7.59624     0.050     15654     18024     23504
   7.58934   7.59608     0.050     15657     18028     23520
   7.58917   7.59592     0.050     15640     18015     23502
   7.58900   7.59577     0.050     15645     18022     23515
   7.58883   7.59560     0.050     15656     18034     23536
   7.58866   7.59544     0.050     15657     18036     23542
   7.58849   7.59528     0.050     15653     18034     23544
   7.58832   7.59512     0.050     15662     18046     23559
   7.58815   7.59496     0.050     15672     18060     23581
   7.58798   7.59480     0.050     15657     18044     23571
   7.58781   7.59464     0.050     15674     18066     23604
   7.58764   7.59448     0.050     15681     18078     23612
   7.58747   7.59432     0.050     15656     18055     23581
   7.58730   7.59417     0.050     15675     18076     23612
   7.58713   7.59403     0.050     15685     18083     23625
   7.58696   7.59389     0.050     15672     18072     23617
   7.58679   7.59375     0.050     15665     18072     23624
   7.58662   7.59362     0.050     15680     18092     23652
   7.58645   7.59349     0.050     15670     18083     23638
   7.58628   7.59336     0.050     15663     18079     23628
   7.58611   7.59324     0.050     15670     18085     23648
   7.58594   7.59310     0.050     15685     18102     23676
   7.58577   7.59297     0.050     15668     18090     23662
   7.58560   7.59282     0.050     15671     18094     23667
   7.58543   7.59269     0.050     15680     18108     23685
   7.58526   7.59255     0.050     15676     18103     23688
   7.58509   7.59241     0.050     15656     18085     23666
   7.58492   7.59226     0.050     15683     18115     23706
   7.58475   7.59212     0.050     15677     18110     23709
   7.58458   7.59197     0.050     15653     18087     23673
   7.58441   7.59184     0.050     15671     18111     23717
   7.58424   7.59170     0.050     15669     18109     23713
   7.58407   7.59156     0.050     15640     18082     23683
   7.58390   7.59142     0.050     15643     18081     23686
   7.58373   7.59128     0.050     15654     18095     23711
   7.58356   7.59113     0.050     15636     18075     23693
   7.58339   7.59097     0.050     15623     18070     23682
   7.58322   7.59081     0.050     15630     18076     23691
   7.58305   7.59064     0.050     15635     18086     23698
   7.58288   7.59046     0.050     15624     18077     23700
   7.58271   7.59028     0.050     15622     18077     23699
   7.58254   7.59010     0.050     15631     18086     23703
   7.58237   7.58991     0.050     15635     18096     23730
   7.58220   7.58972     0.050     15623     18085     23717
   7.58203   7.58953     0.050     15638     18103     23737
   7.58186   7.58934     0.050     15640     18104     23749
   7.58169   7.58916     0.050     15622     18093     23732
   7.58152   7.58899     0.050     15640     18109     23762
   7.58135   7.58881     0.050     15653     18129     23790
   7.58118   7.58864     0.050     15636     18111     23768
   7.58101   7.58847     0.050     15650     18128     23792
   7.58084   7.58831     0.050     15670     18154     23827
   7.58067   7.58813     0.050     15658     18142     23812
   7.58050   7.58795     0.050     15658     18146     23829
   7.58033   7.58778     0.050     15679     18168     23855
   7.58016   7.58760     0.050     15669     18161     23851
   7.57999   7.58741     0.050     15658     18156     23846
   7.57982   7.58723     0.050     15669     18164     23865
   7.57965   7.58704     0.050     15669     18169     23860
   7.57948   7.58686     0.050     15666     18165     23859
   7.57931   7.58669     0.050     15652     18154     23849
   7.57914   7.58652     0.050     15668     18172     23881
   7.57897   7.58635     0.050     15660     18167     23883
   7.57880   7.58618     0.050     15652     18161     23882
   7.57863   7.58602     0.050     15660     18171     23901
   7.57846   7.58586     0.050     15669     18187     23913
   7.57829   7.58569     0.050     15649     18166     23896
   7.57812   7.58553     0.050     15653     18173     23903
   7.57795   7.58537     0.050     15667     18191     23930
   7.57778   7.58521     0.050     15651     18174     23912
   7.57761   7.58505     0.050     15643     18167     23899
   7.57744   7.58489     0.050     15668     18191     23943
   7.57727   7.58472     0.050     15658     18184     23926
   7.57710   7.58456     0.050     15645     18174     23921
   7.57693   7.58440     0.050     15650     18185     23932
   7.57676   7.58425     0.050     15648     18183     23946
   7.57659   7.58410     0.050     15642     18178     23936
   7.57642   7.58395     0.050     15634     18171     23937
   7.57625   7.58382     0.050     15628     18169     23928
   7.57608   7.58368     0.050     15627     18170     23937
   7.57591   7.58355     0.050     15609     18151     23917
   7.57574   7.58342     0.050     15618     18162     23927
   7.57557   7.58329     0.050     15623     18169     23942
   7.57540   7.58316     0.050     15598     18142     23912
   7.57523   7.58303     0.050     15610     18156     23930
   7.57506   7.58289     0.050     15619     18170     23953
   7.57489   7.58275     0.050     15608     18159     23941
   7.57472   7.58261     0.050     15614     18168     23950
   7.57455   7.58247     0.050     15625     18183     23972
   7.57438   7.58233     0.050     15614     18172     23966
   7.57421   7.58218     0.050     15617     18183     23985
   7.57404   7.58204     0.050     15628     18195     24005
   7.57387   7.58190     0.050     15620     18188     23994
   7.57370   7.58175     0.050     15625     18196     24005
   7.57353   7.58161     0.050     15632     18207     24025
   7.57336   7.58147     0.050     15637     18213     24043
   7.57319   7.58133     0.050     15639     18218     24046
   7.57302   7.58118     0.050     15646     18229     24062
